PC448,Suggy's Chimecho Kommo-o Team,,Hsuan-Chih Kuo,,,,Chimechite,,,Passho Berry,,,Choice Scarf,,,Soft Sand,,,Focus Sash,,,Dragon Fang,,https://pokepast.es/b9b92b667fd67288,Yes,Extracted,✔,6RQGUCH5XX,24 Apr 2026,-,,https://x.com/suggy3333/status/2047362628226363513?s=46,-,-,suggy3333,,Chimecho-Mega,Incineroar,Rotom-Wash,Mudsdale,Chandelure,Kommo-o,,PC448
PC447,megamogwai's Manectric Corviknight Team,,megamogwai,,,,Manectite,,,Sitrus Berry,,,Focus Sash,,,Coba Berry,,,Colbur Berry,,,Leftovers,,https://pokepast.es/740246e7be997894,Yes,Extracted,✔,V8QFXKC5YX,24 Apr 2026,-,,https://x.com/megamogwai/status/2047351845098541431?s=46,-,-,megamogwai,,Manectric-Mega,Tauros-Paldea-Aqua,Tyranitar,Whimsicott,Farigiraf,Corviknight,,PC447
PC446,rirunnpapa's Floette Delphox Team,,Shintaro Amemiya,,,,Delphoxite,,,Floettite,,,Focus Sash,,,Sitrus Berry,,,Spell Tag,,,Black Glasses,,https://pokepast.es/7c9bcaa2420475de,Yes,Extracted,✔,6L2WY8YWSX,23 Apr 2026,-,,https://x.com/rirunnpapa/status/2047333805053403346,-,-,rirunnpapa,,Delphox-Mega,Floette-Eternal-Mega,Basculegion,Sneasler,Aegislash,Kingambit,,PC446
PC445,StarRaikouVGC's Blastoise Tyranitar TR Team,,Nick Jorgensen,,,,Blastoisinite,,,Tyranitarite,,,Choice Scarf,,,Sitrus Berry,,,Occa Berry,,,Chople Berry,,https://pokepast.es/b006d85a5deadb07,Yes,Extracted,✔,1JJEFXLT30,23 Apr 2026,-,,https://fxtwitter.com/StarRaikouVGC/status/2047122050691563628,-,-,StarRaikouVGC,,Blastoise-Mega,Tyranitar-Mega,Basculegion,Farigiraf,Sinistcha,Kingambit,,PC445
PC444,Leunam's Victory Road Champions Arena Top 128 Team,,Manuel Barea,,,,Heracronite,,,Charizardite Y,,,Sitrus Berry,,,Chople Berry,,,Focus Sash,,,Roseli Berry,,https://pokepast.es/f46e8c179f42a9b7,Yes,Extracted,✔,QA4AVGAKF0,23 Apr 2026,Victory Road Champions Arena,94th,https://x.com/ManuelBarea98/status/2047283257541058778?s=20,-,https://x.com/ManuelBarea98/status/2047283257541058778?s=20,ManuelBarea98,,Heracross-Mega,Charizard,Incineroar,Maushold,Whimsicott,Garchomp,,PC444
PC443,joeypokeaim's Camerupt Abomasnow TR Team,,joeypokeaim,,,,Abomasite,,,Cameruptite,,,White Herb,,,Choice Scarf,,,Focus Sash,,,Colbur Berry,,https://pokepast.es/c660acba53dfe3bf,Yes,Extracted,✔,LY04L0PEF6,23 Apr 2026,-,,https://www.youtube.com/watch?si=PE3gD4jVCHZKmkiW&v=tcALWkxcFCM&feature=youtu.be,-,-,Manual Entry,,Abomasnow-Mega,Camerupt-Mega,Incineroar,Basculegion,Sneasler,Farigiraf,,PC443
PC442,spragels' Charizard-Y Meganium Team,,spragels,,,,Meganiumite,,,Charizardite Y,,,Mystic Water,,,Focus Sash,,,White Herb,,,Leftovers,,https://pokepast.es/0bd1b2e3872fee34,Yes,Extracted,✔,XE9SW0QTSL,23 Apr 2026,-,,https://x.com/spragels/status/2047044346005115286?s=46,-,-,spragels,,Meganium-Mega,Charizard,Basculegion,Pelipper,Sneasler,Archaludon,,PC442
PC441,YaBeamatUp_poke's Audino Snorlax Team,,YaBeamatUp_poke,,,,Audinite,,,White Herb,,,Leftovers,,,Spell Tag,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/01a5a620ca9ee087,Yes,Extracted,✔,LUDYQUVMG2,22 Apr 2026,-,,https://x.com/YaBeamatUp_poke/status/2046883786139517263?s=20,-,-,YaBeamatUp_poke,,Audino-Mega,Sneasler,Snorlax,Aegislash,Ninetales-Alola,Kommo-o,,PC441
PC440,soulkw's Aerodactyl Rotom-Mow Team,,soulkw,,,,Aerodactylite,,,Charizardite Y,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Dragon Fang,,https://pokepast.es/f8f16a131cd76147,Yes,Owner's,✔,0U6661K5FE,22 Apr 2026,-,,Discord Submission,https://www.youtube.com/watch?v=gGuD14-lhDQ&feature=youtu.be,-,Manual Entry,,Aerodactyl-Mega,Charizard,Rotom-Mow,Sneasler,Kingambit,Dragonite,,PC440
PC439,yuki_pkmon's Charizard-Y Venusaur Team,,yuki_pkmon,,,,Charizardite Y,,,Chople Berry,,,Leftovers,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/e8bf36c6a7206469,Yes,Extracted,✔,K12KXS3KTA,22 Apr 2026,-,,https://x.com/yuki_pkmon/status/2046911106191626513?s=46,-,-,yuki_pkmon,,Charizard,Incineroar,Milotic,Venusaur,Sneasler,Garchomp,,PC439
PC438,kyukafuremingu's Floette Ariados Team,,kyukafuremingu,,,,Floettite,,,Sitrus Berry,,,Focus Sash,,,Bright Powder,,,Chople Berry,,,Leftovers,,https://pokepast.es/fb04cf7cab3e456a,Yes,Extracted,✔,ESUF5C0AVC,16 Apr 2026,-,,https://x.com/pokemononly354/status/2044744539274145825?s=46,https://kyukafuremingu.hatenadiary.com/entry/2026/04/16/204410,-,pokemononly354,,Floette-Eternal-Mega,Incineroar,Basculegion,Ariados,Snorlax,Kommo-o,,PC438
PC437,NatusPKMN's Meganium Gliscor Team,,Nate Innocenti,,,,Meganiumite,,,Tyranitarite,,,White Herb,,,Lum Berry,,,Sitrus Berry,,,Focus Sash,,https://pokepast.es/82645d253889e013,Yes,Extracted,✔,JLKWLT18WP,22 Apr 2026,-,,https://x.com/natuspkmn/status/2046837382670950400?s=46,-,-,natuspkmn,,Meganium-Mega,Tyranitar-Mega,Excadrill,Gliscor,Farigiraf,Kingambit,,PC437
PC436,zombiesgonomnom's Dragonite Tyranitar Team,,zombiesgonomnom,,,,Dragoninite,,,Tyranitarite,,,Sitrus Berry,,,White Herb,,,Leftovers,,,Bright Powder,,https://pokepast.es/52b3ff0aa1b05b1c,Yes,Extracted,✔,C3HNBS80EQ,21 Apr 2026,Video,,https://youtu.be/Aqy1YhbjMIM,-,-,Manual Entry,,Dragonite-Mega,Tyranitar-Mega,Gyarados,Sneasler,Corviknight,Garchomp,,PC436
PC435,Wolfey's Scovillain Rain Team,,Wolfe Glick,,,,Aerodactylite,,,Scovillainite,,,Focus Sash,,,Sitrus Berry,,,Chople Berry,,,Choice Scarf,,https://pokepast.es/45ed28eb0cbf4a2b,Yes,Extracted,✔,3SP3MS85XR,21 Apr 2026,Video,,https://youtu.be/FEVwyQyRJzk?si=r22tCMhMp-J-Uo1Q,-,-,WolfeyGlick,,Aerodactyl-Mega,Scovillain-Mega,Basculegion,Pelipper,Kingambit,Archaludon,,PC435
PC434,rirunnpapa's Gardevoir Maushold Team,,Shintaro Amemiya,,,,Gardevoirite,,I,,,,Kasib Berry,,,Focus Sash,,,Chople Berry,,,White Herb,,https://pokepast.es/036b07347ec19b5d,Yes,Extracted,✔,U192Y4A7Y3,21 Apr 2026,-,,https://x.com/rirunnpapa/status/2046355213792288997?s=46,-,-,rirunnpapa,,Gardevoir-Mega,Talonflame,Basculegion,Maushold-Four,Kingambit,Garchomp,,PC434
PC433,Riopaser's Venusaur Ceruledge Team,,Eric Ríos,,,,Venusaurite,,,Colbur Berry,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Leftovers,,https://pokepast.es/be4db8383740c625,Yes,Extracted,X,None,21 Apr 2026,-,,https://x.com/riopaser/status/2046610087423209503?s=46,-,-,riopaser,,Venusaur-Mega,Ceruledge,Rotom-Wash,Aerodactyl,Kingambit,Sylveon,,PC433
PC432,zeen's Charizard-Y Froslass Team,,Shohei Kimura,,,,Froslassite,,,Charizardite Y,,,White Herb,,,Chople Berry,,,Dragon Fang,,,Sitrus Berry,,https://pokepast.es/489a261989fd1bf4,Yes,Extracted,✔,PEN857FNMS,20 Apr 2026,-,,https://x.com/zeen172m/status/2046496742758297798?s=46,-,-,zeen172m,,Froslass-Mega,Charizard,Sneasler,Kingambit,Dragonite,Garchomp,,PC432
PC431,megamaphoo's Local Cup Top 4 Team,,megamaphoo,,,,Charizardite Y,,,Focus Sash,,,White Herb,,,Choice Scarf,,,Black Glasses,,,Dragon Fang,,https://pokepast.es/8f7b15ea8000b72d,Yes,Extracted,✔,07M6X4PXSD,20 Apr 2026,Local Cup,Top 4,https://x.com/megamaphoo/status/2046453114434457665?s=46,-,-,megamaphoo,,Charizard,Aerodactyl,Sneasler,Zoroark-Hisui,Kingambit,Garchomp,,PC431
PC430,sunnie's Emboar TR Team,,sunnie,,,,Emboarite,,,Charcoal,,,Silk Scarf,,,Colbur Berry,,,Black Glasses,,,Focus Sash,,https://pokepast.es/1b36d50c4cb50e46,Yes,Extracted,✔,KADWC1YWLQ,20 Apr 2026,-,,https://x.com/sunniettv/status/2046410134067224579?s=46,-,-,sunniettv,,Emboar-Mega,Torkoal,Kangaskhan,Farigiraf,Kingambit,Hatterene,,PC430
PC429,gekk4f's Delphox Farigiraf Team,,gekk4f,,,,Delphoxite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Chople Berry,,,Choice Scarf,,https://pokepast.es/2bf10d280b945eb3,Yes,Extracted,✔,2V5M8L61NL,20 Apr 2026,-,,https://x.com/gekk4f/status/2046391536766836952?s=46,-,-,gekk4f,,Delphox-Mega,Basculegion,Sneasler,Farigiraf,Kingambit,Garchomp,,PC429
PC428,LenVGC's Floette HO Team,,Alex Soto,,,,Floettite,,,Sharp Beak,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,,Soft Sand,,https://pokepast.es/ba4af1eb63a64035,Yes,Extracted,X,None,20 Apr 2026,-,,https://x.com/LenVGC/status/2046268484514988065?s=20,-,-,LenVGC,,Floette-Eternal-Mega,Talonflame,Basculegion,Sneasler,Farigiraf,Garchomp,,PC428
PC427,Lexicon's Kangaskhan Ceruledge Team,,Alex Underhill,,,,Kangaskhanite,,,Colbur Berry,,,Sitrus Berry,,,Focus Sash,,,Choice Scarf,,,Leftovers,,https://pokepast.es/689efa25c920e93b,Yes,Extracted,✔,KLW2Y3HKQ3,20 Apr 2026,-,,https://x.com/lexiconvgc/status/2046307475591438733?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,lexiconvgc,,Kangaskhan-Mega,Ceruledge,Milotic,Vivillon,Ninetales-Alola,Kommo-o,,PC427
PC426,supacrunch's Heracross TailRoom Team,,supacrunch,,,,Heracronite,,,Charcoal,,,Focus Sash,,,White Herb,,,Colbur Berry,,,Chople Berry,,https://pokepast.es/c0f9b280b654fd6f,Yes,Owner's,✔,QCVPSPE167,20 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Heracross-Mega,Torkoal,Aerodactyl,Sneasler,Farigiraf,Kingambit,,PC426
PC425,Brian's Local Cup Champion Team,,Brian Youm,,,,Charizardite Y,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Roseli Berry,,https://pokepast.es/7ab2b2920d92280f,Yes,Extracted,✔,5TA3T1T0D4,20 Apr 2026,Local Cup,Champion,https://x.com/playmakeryoum/status/2046255640108994614?s=46,-,-,playmakeryoum,,Charizard,Incineroar,Basculegion,Venusaur,Sneasler,Garchomp,,PC425
PC424,Yuu's Scovillian Rain Team,,Yuu,,,,Floettite,,,Scovillainite,,,Mystic Water,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,https://pokepast.es/feec4c6cb01028c8,Yes,Extracted,✔,1KE3W1FHEX,20 Apr 2026,-,,https://x.com/yu_yan_poke/status/2046253157140049947?s=46,-,-,yu_yan_poke,,Floette-Eternal-Mega,Scovillain-Mega,Basculegion,Pelipper,Sneasler,Archaludon,,PC424
PC423,Wolfey's Floette Kangaskhan Team,,Wolfey,,,,Floettite,,,Kangaskhanite,,,Choice Scarf,,,Focus Sash,,,Spell Tag,,,White Herb,,https://pokepast.es/5f645592a87632dd,Yes,Extracted,✔,9EMSJS1J2V,20 Apr 2026,Video,,https://www.youtube.com/watch?v=Zgs01N1wCpI,-,-,Manual Entry,,Floette-Eternal-Mega,Kangaskhan-Mega,Rotom-Wash,Aerodactyl,Aegislash,Garchomp,,PC423
PC422,shopoke0527's Camerupt Sylveon Team,,shopoke0527,,,,Cameruptite,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Chople Berry,,,Fairy Feather,,https://pokepast.es/c088f6406564ddb2,Yes,Extracted,✔,TX8DB29VWX,20 Apr 2026,-,,https://x.com/shopoke0527/status/2046205584702374089?s=46,-,-,shopoke0527,,Camerupt-Mega,Basculegion,Sneasler,Farigiraf,Kingambit,Sylveon,,PC422
PC421,dubiousbulb1033's Kangaskhan Charizard-Y Team,,dubiousbulb1033,,,,Kangaskhanite,,,Charizardite Y,,,Leftovers,,,Focus Sash,,,Spell Tag,,,Soft Sand,,https://pokepast.es/dbd9f40043775394,Yes,Extracted,✔,F7J2URQV3F,20 Apr 2026,-,,https://x.com/dubiousbulb1033/status/2046214550043635918?s=46,-,-,dubiousbulb1033,,Kangaskhan-Mega,Charizard,Milotic,Aerodactyl,Aegislash,Garchomp,,PC421
PC420,MiJa's Victory Road Champions Arena Champion Team,,Hyungwoo Shin,,,,Charizardite Y,,,Chople Berry,,,Leftovers,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/716dffe25a855236,Yes,Extracted,✔,SQMPYRW6BP,19 Apr 2026,Victory Road Champions Arena,Champion,https://x.com/CandyBong__Z/status/2045991628964585668?s=20,-,https://victoryroad.pro/vr-champions-arena/,CandyBong__Z,,Charizard,Incineroar,Milotic,Venusaur,Sneasler,Garchomp,,PC420
PC419,Tabu's Victory Road Champions Arena Runner Up Team,,Jorge Tabuyo,,,,Tyranitarite,,,Charizardite X,,,Sitrus Berry,,,Leftovers,,,White Herb,,,Coba Berry,,https://pokepast.es/b469878d6dcd5e22,Yes,Extracted,✔,P08QQ5NU9C,19 Apr 2026,Victory Road Champions Arena,Runner Up,https://x.com/Tabu__24/status/2045981452706177411?s=20,-,https://victoryroad.pro/vr-champions-arena/,Tabu__24,,Tyranitar-Mega,Charizard,Incineroar,Milotic,Sneasler,Sinistcha,,PC419
PC418,Palo's Victory Road Champions Arena Top 4 Team,,Juan Benítez,,,,Charizardite Y,,,White Herb,,,Focus Sash,,,Sitrus Berry,,,Black Glasses,,,Choice Scarf,,https://pokepast.es/a1ea30499afd4fa2,Yes,Extracted,✔,KN6SNLGUPA,19 Apr 2026,Victory Road Champions Arena,3rd,https://x.com/SoyPalo_/status/2045971513514262965?s=20,-,https://victoryroad.pro/vr-champions-arena/,SoyPalo_,,Charizard,Sneasler,Whimsicott,Farigiraf,Kingambit,Garchomp,,PC418
PC417,JoeUX9's Victory Road Champions Arena Top 4 Team,,Joseph Ugarte,,,,Tyranitarite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,White Herb,,,Choice Scarf,,https://pokepast.es/8a6a3f4b1601993a,No,Extracted,X,None,19 Apr 2026,Victory Road Champions Arena,4th,https://x.com/JoeUX9/status/2045974766499119240,-,https://victoryroad.pro/vr-champions-arena/,JoeUX9,,Tyranitar-Mega,Rotom-Wash,Excadrill,Corviknight,Mimikyu,Hydreigon,,PC417
PC416,PsychoR&R's Victory Road Champions Arena Top 8 Team,,PsychoR&R,,,,Charizardite Y,,,White Herb,,,Charcoal,,,Sitrus Berry,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/afc2e41eb4dc8b35,Yes,Owner's,✔,PJ4HB1DNPE,19 Apr 2026,Victory Road Champions Arena,5th,https://x.com/psyr_r/status/2046048691434430670?s=46,-,https://victoryroad.pro/vr-champions-arena/,psyr_r,,Charizard-Mega-Y,Incineroar,Torkoal,Farigiraf,Kingambit,Hatterene,,PC416
PC415,Pedro Martínez's Victory Road Champions Arena Top 8 Team,,Pedro Martínez,,,,Aerodactylite,,,Froslassite,,,Focus Sash,,,White Herb,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/fc30b63018274944,No,Extracted,X,None,19 Apr 2026,Victory Road Champions Arena,6th,https://x.com/pmc21vgc,-,https://victoryroad.pro/vr-champions-arena/,Manual Entry,,Aerodactyl-Mega,Froslass-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC415
PC414,Francesco Iozzia's Victory Road Champions Arena Top 8 Team,,Francesco Iozzia,,,,Scizorite,,,Charizardite X,,,Shuca Berry,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/47c0a153d7454020,No,Extracted,X,None,19 Apr 2026,Victory Road Champions Arena,7th,https://x.com/youngniva,-,https://victoryroad.pro/vr-champions-arena/,Manual Entry,,Scizor-Mega,Charizard,Incineroar,Milotic,Sneasler,Sinistcha,,PC414
PC413,William Brown's Victory Road Champions Arena Top 8 Team,,William Brown,,,,Meganiumite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Colbur Berry,,,Black Glasses,,https://pokepast.es/f5ac5d30fedb98d5,No,Extracted,X,None,19 Apr 2026,Victory Road Champions Arena,8th,https://x.com/WillBrown_vgc,-,https://victoryroad.pro/vr-champions-arena/,Manual Entry,,Meganium-Mega,Basculegion,Aerodactyl,Sneasler,Farigiraf,Kingambit,,PC413
PC412,Conan Yoshikawa's Victory Road Champions Arena Top 16 Team,,Conan Yoshikawa,,,,Floettite,,,Charizardite Y,,,Choice Scarf,,,Sitrus Berry,,,Chople Berry,,,Soft Sand,,https://pokepast.es/6d8d8c857f2c380b,No,Extracted,X,None,19 Apr 2026,Victory Road Champions Arena,9th,https://x.com/conanyk,-,https://victoryroad.pro/vr-champions-arena/,Manual Entry,,Floette-Eternal-Mega,Charizard,Basculegion,Aerodactyl,Kingambit,Garchomp,,PC412
PC411,Calculus' Victory Road Champions Arena Top 16 Team,,Calculus,,,,Floettite,,,Scizorite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Kasib Berry,,https://pokepast.es/8cf94e529fa85950,No,Extracted,X,None,19 Apr 2026,Victory Road Champions Arena,10th,https://x.com/CalcVGC/status/2045955097801429235,-,https://victoryroad.pro/vr-champions-arena/,CalcVGC,,Floette-Eternal-Mega,Scizor-Mega,Incineroar,Aerodactyl,Sneasler,Sinistcha,,PC411
PC410,Pablo Rico's Victory Road Champions Arena Top 16 Team,,Pablo Rico,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Spell Tag,,,Haban Berry,,https://pokepast.es/f3124d9c358c453b,Yes,Extracted,✔,XPPGN8S1NV,19 Apr 2026,Victory Road Champions Arena,11th,https://x.com/Logane_____/status/2045961883354542215,-,https://victoryroad.pro/vr-champions-arena/,Logane_____,,Floette-Eternal-Mega,Incineroar,Rotom-Wash,Aerodactyl,Aegislash,Garchomp,,PC410
PC409,MichaelderBeste's Victory Road Champions Arena Top 16 Team,,Michael Kelsch,,,,Gengarite,,,Tyranitarite,,,Sitrus Berry,,,Shuca Berry,,,Choice Scarf,,,Dragon Fang,,https://pokepast.es/203c5b20ebd29c48,Yes,Extracted,✔,YE9GK4T2ME,19 Apr 2026,Victory Road Champions Arena,15th,https://x.com/MichaelderBeste/status/2045928128900379113?s=20,-,https://victoryroad.pro/vr-champions-arena/,MichaelderBeste,,Gengar-Mega,Tyranitar-Mega,Rotom-Wash,Tinkaton,Garchomp,Kommo-o,,PC409
PC408,Dimsunlight's Victory Road Champions Arena Top 16 Team,,Toler Webb,,,,Gardevoirite,,I,,,,Sitrus Berry,,,Chople Berry,,,Black Glasses,,,Haban Berry,,https://pokepast.es/ac507d7eb6aaef4e,Yes,Extracted,✔,41J9L9551Y,19 Apr 2026,Victory Road Champions Arena,16th,https://x.com/Dimsunlight/status/2045942941336682561?s=20,-,https://victoryroad.pro/vr-champions-arena/,Dimsunlight,,Gardevoir-Mega,Talonflame,Rotom-Wash,Maushold,Kingambit,Garchomp,,PC408
PC407,SeaWolfMikes' Victory Road Champions Arena Top 32 Team,,SeaWolfMikes,,,,Floettite,,,Charti Berry,,,Choice Scarf,,,Chople Berry,,,Black Glasses,,,Lum Berry,,https://pokepast.es/789826615054fc39,Yes,Extracted,✔,J44VT5T0PN,19 Apr 2026,Victory Road Champions Arena,24th,https://x.com/SeaWolfMikes/status/2045926984627183957?s=20,-,https://victoryroad.pro/vr-champions-arena/,SeaWolfMikes,,Floette-Eternal-Mega,Talonflame,Basculegion,Maushold-Four,Kingambit,Garchomp,,PC407
PC406,Teka's Victory Road Champions Arena Top 32 Team,,Juan Manuel Santizo,,,,Floettite,,,Shuca Berry,,,Sitrus Berry,,,Choice Scarf,,,Spell Tag,,,Lum Berry,,https://pokepast.es/8d2733d708020a05,Yes,Extracted,✔,RURWUBCK33,19 Apr 2026,Victory Road Champions Arena,25th,https://x.com/TeKaVGC/status/2045937580294737962?s=20,-,https://victoryroad.pro/vr-champions-arena/,TeKaVGC,,Floette-Eternal-Mega,Incineroar,Volcarona,Rotom-Wash,Aegislash,Garchomp,,PC406
PC405,sudoz's Victory Road Champions Arena Top 64 Team,,sudoz,,,,Meganiumite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Colbur Berry,,,Black Glasses,,https://pokepast.es/a22b4e8e112bd57c,Yes,Owner's,✔,B7RVKAN06B,19 Apr 2026,Victory Road Champions Arena,36th,https://x.com/sudozz/status/2045997730049220687?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://docs.google.com/document/d/1ESXzzRsXu1cOsc8hpSItGblvNd_YrYEmzjvlF6qYqzU/edit?tab=t.0,https://victoryroad.pro/vr-champions-arena/,sudozz,,Meganium-Mega,Basculegion,Aerodactyl,Sneasler,Farigiraf,Kingambit,,PC405
PC404,VGCLuca's Victory Road Champions Arena Top 64 Team,,VGCLuca,,,,Delphoxite,,,Floettite,,,Focus Sash,,,Chople Berry,,,Spell Tag,,,White Herb,,https://pokepast.es/c567bcaad98c2e30,Yes,Owner's,✔,P7CUS0MUMT,19 Apr 2026,Victory Road Champions Arena,50th,https://x.com/VGCLuca/status/2045929655610319053?s=20,-,https://victoryroad.pro/vr-champions-arena/,VGCLuca,,Delphox-Mega,Floette-Mega,Aerodactyl,Maushold,Aegislash,Garchomp,,PC404
PC403,ChessBoard's Victory Road Champions Arena Top 64 Team,,Mason Cutler,,,,Slowbronite,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Black Glasses,,,Leftovers,,https://pokepast.es/bd34d36ebdafdfe6,Yes,Extracted,✔,DC475VR96K,22 Apr 2026,Victory Road Champions Arena,56th,https://x.com/chessboard__/status/2046672686399574309?s=46,-,https://victoryroad.pro/vr-champions-arena/,chessboard__,,Slowbro-Mega,Glimmora,Sneasler,Sinistcha,Kingambit,Kommo-o,,PC403
PC402,KeanuVGC's Victory Road Champions Arena Top 128 Team,,Keanu Inosanto,,,,Dragoninite,,,Scizorite,,,Sitrus Berry,,,Choice Scarf,,,Leftovers,,,White Herb,,https://pokepast.es/174fb4599deb2ff1,Yes,Extracted,✔,T9779X4P4V,19 Apr 2026,Victory Road Champions Arena,76th,https://x.com/keanuinosanto/status/2046060531371651294?s=46,-,https://victoryroad.pro/vr-champions-arena/,keanuinosanto,,Dragonite-Mega,Scizor-Mega,Incineroar,Basculegion,Politoed,Sneasler,,PC402
